,Category,EBVGen,Cor,Group,Scenario,Rep,Generation
1,Female candidates,EBV25,0.38514770476094534,home,50_50,0,25
2,Male candidates,EBV25,0.9549943537405806,home,50_50,0,25
3,Male candidates1,EBV25,0.5034546830473029,home,50_50,0,25
4,Mothers,EBV25,0.5919954130746583,home,50_50,0,25
0,Fathers,EBV26,0.923054430700475,home,50_50,0,26
1,Female candidates,EBV26,0.3647290695303601,home,50_50,0,26
2,Male candidates,EBV26,0.9704569878358019,home,50_50,0,26
3,Male candidates1,EBV26,0.30758250660329384,home,50_50,0,26
4,Mothers,EBV26,0.5790424828240686,home,50_50,0,26
0,Fathers,EBV27,0.9639129704314136,home,50_50,0,27
1,Female candidates,EBV27,0.3727088839882104,home,50_50,0,27
2,Male candidates,EBV27,0.8993192618641285,home,50_50,0,27
3,Male candidates1,EBV27,0.08979521621649675,home,50_50,0,27
4,Mothers,EBV27,0.5458543699321657,home,50_50,0,27
0,Fathers,EBV28,0.9570530926051368,home,50_50,0,28
1,Female candidates,EBV28,0.3672911712903089,home,50_50,0,28
2,Male candidates,EBV28,0.9573498902890103,home,50_50,0,28
3,Male candidates1,EBV28,0.396422745483107,home,50_50,0,28
4,Mothers,EBV28,0.5594536515713856,home,50_50,0,28
0,Fathers,EBV29,0.9416365975221982,home,50_50,0,29
1,Female candidates,EBV29,0.37092664023450017,home,50_50,0,29
2,Male candidates,EBV29,0.9912766682137883,home,50_50,0,29
3,Male candidates1,EBV29,-0.08192719582901184,home,50_50,0,29
4,Mothers,EBV29,0.5585393553287307,home,50_50,0,29
0,Fathers,EBV30,0.924142228844702,home,50_50,0,30
1,Female candidates,EBV30,0.4332264843488074,home,50_50,0,30
2,Male candidates,EBV30,0.7896524480805309,home,50_50,0,30
3,Male candidates1,EBV30,0.09384901244006874,home,50_50,0,30
4,Mothers,EBV30,0.555876080246257,home,50_50,0,30
0,Fathers,EBV31,0.7879090493183298,home,50_50,0,31
1,Female candidates,EBV31,0.40896167862982075,home,50_50,0,31
2,Male candidates,EBV31,0.964366504356219,home,50_50,0,31
3,Male candidates1,EBV31,0.3806926318536561,home,50_50,0,31
4,Mothers,EBV31,0.571587184848833,home,50_50,0,31
0,Fathers,EBV32,0.8428383206647195,home,50_50,0,32
1,Female candidates,EBV32,0.3864007441643265,home,50_50,0,32
2,Male candidates,EBV32,0.9257037953302726,home,50_50,0,32
3,Male candidates1,EBV32,0.1595412402165785,home,50_50,0,32
4,Mothers,EBV32,0.5781738370414624,home,50_50,0,32
