Strategy,Scenario,Group,Gen,Cat,Cor
ClassGen,100_100,import,28,Male candidates,0.16228944251701574
ClassGen,100_100,import,28,Male candidates1,-0.06418040608408092
ClassGen,100_100,import,28,Mothers,0.1429311506756514
ClassGen,100_100,import,29,Fathers,-0.12507019583078596
ClassGen,100_100,import,29,Female candidates,-0.028056909464463986
ClassGen,100_100,import,29,Male candidates,0.05845030865069618
ClassGen,100_100,import,29,Male candidates1,-0.049128658942814527
ClassGen,100_100,import,29,Mothers,0.1049629655300555
ClassGen,100_100,import,30,Fathers,-0.3847108019628472
ClassGen,100_100,import,30,Female candidates,-0.11326082123009262
ClassGen,100_100,import,30,Male candidates,0.05678320347160816
ClassGen,100_100,import,30,Male candidates1,-0.0902528957136858
ClassGen,100_100,import,30,Mothers,0.05570603889717893
ClassGen,100_100,import,31,Fathers,0.0867631968017128
ClassGen,100_100,import,31,Female candidates,-0.14762400237761011
ClassGen,100_100,import,31,Male candidates,0.4765303820185045
ClassGen,100_100,import,31,Male candidates1,0.20321777152197493
ClassGen,100_100,import,31,Mothers,0.05340820046128016
ClassGen,100_100,import,32,Fathers,0.16038108169941148
ClassGen,100_100,import,32,Female candidates,-0.04965606855924858
